"","salaries.2014","salaries.2015","raise","got.raise"
"Employee 1",19297.4092415534,20761.4251764026,1464.01593484916,TRUE
"Employee 2",17714.9133267812,17880.2623341326,165.349007351324,TRUE
"Employee 3",14252.1074973047,15590.5542119872,1338.4467146825,TRUE
"Employee 4",19637.0535739698,20627.2325010505,990.178927080706,TRUE
"Employee 5",19731.5917746164,20855.5324582849,1123.94068366848,TRUE
"Employee 6",10709.2168438248,12113.4775378741,1404.2606940493,TRUE
"Employee 7",11646.5398366563,12028.3025326207,381.762695964426,TRUE
"Employee 8",12613.9924465679,13955.3952391725,1341.40279260464,TRUE
"Employee 9",15952.0226949826,16966.6201672517,1014.59747226909,TRUE
"Employee 10",11327.5544019416,12253.460584674,925.906182732433,TRUE
"Employee 11",18276.9865263253,18275.3635514528,-1.62297487258911,FALSE
"Employee 12",12544.0810061991,12565.8995581325,21.8185519333929,TRUE
"Employee 13",15048.5143926926,14688.8771420345,-359.637250658125,FALSE
"Employee 14",11723.3502143063,13206.8931001704,1483.54288586415,TRUE
"Employee 15",16922.3825470544,16186.4467300475,-735.935817006975,FALSE
"Employee 16",12370.8874429576,13866.8457134627,1495.95827050507,TRUE
"Employee 17",16522.3160642199,17057.6827838086,535.366719588637,TRUE
"Employee 18",15430.5143957026,16330.964485649,900.450089946389,TRUE
"Employee 19",19054.2592480779,19822.9399234988,768.68067542091,TRUE
"Employee 20",19364.00877079,20038.5771663859,674.568395595998,TRUE
"Employee 21",17607.6187426224,18849.6809867211,1242.06224409863,TRUE
"Employee 22",12511.979888659,13584.2835931107,1072.30370445177,TRUE
"Employee 23",18181.7318778485,18169.4789000321,-12.252977816388,FALSE
"Employee 24",10126.1877035722,10651.8980914261,525.710387853906,TRUE
"Employee 25",18135.0934784859,18739.1719256993,604.078447213396,TRUE
"Employee 26",11250.4916195758,10489.1624448355,-761.32917474024,FALSE
"Employee 27",18052.4222087115,17692.8781787865,-359.544029925019,FALSE
"Employee 28",14547.4636368454,14628.7328794133,81.2692425679415,TRUE
"Employee 29",18583.2577664405,19084.7708152141,501.513048773631,TRUE
"Employee 30",14229.5824806206,13315.6355570536,-913.946923566982,FALSE
"Employee 31",17938.8948529959,17437.642936362,-501.251916633919,FALSE
"Employee 32",19804.4460522942,20037.9016899969,233.455637702718,TRUE
"Employee 33",18083.239744883,17327.1406395361,-756.099105346948,FALSE
"Employee 34",18788.6753096245,18034.9193750881,-753.755934536457,FALSE
"Employee 35",13821.1491541006,15130.4244953208,1309.2753412202,TRUE
"Employee 36",13190.1473156177,13889.0760014765,698.928685858846,TRUE
"Employee 37",13535.6960259378,12615.5414928216,-920.154533116147,FALSE
"Employee 38",14697.8606330231,14206.5156111494,-491.345021873713,FALSE
"Employee 39",19656.1809745617,21088.3453798015,1432.16440523975,TRUE
"Employee 40",19176.1882184073,19899.6814461425,723.493227735162,TRUE
"Employee 41",13939.9722428061,15490.0667064358,1550.09446362965,TRUE
"Employee 42",18231.833842583,19703.2079491764,1471.37410659343,TRUE
"Employee 43",10664.1281466,11785.4888287839,1121.36068218388,TRUE
"Employee 44",16833.4376649,17382.77018792,549.332523019984,TRUE
"Employee 45",17462.6452405937,17674.3928031065,211.747562512755,TRUE
"Employee 46",12540.4361798428,12988.3922871668,447.956107323989,TRUE
"Employee 47",19327.3956538178,20649.4037297089,1322.00807589106,TRUE
"Employee 48",10942.6125441678,9999.49928675778,-943.113257410005,FALSE
"Employee 49",11797.2269863822,11658.0890342593,-139.137952122837,FALSE
"Employee 50",17729.4798917137,18803.576691309,1074.09679959528,TRUE
"Employee 51",16234.5277355053,17166.4326109458,931.904875440523,TRUE
"Employee 52",17732.9769241624,18805.879923515,1072.90299935266,TRUE
"Employee 53",11720.3843826428,12665.8885837533,945.504201110452,TRUE
"Employee 54",18377.7660690248,20021.1193943396,1643.35332531482,TRUE
"Employee 55",14752.9644425958,15600.4024629947,847.43802039884,TRUE
"Employee 56",10626.5299767256,11535.3990066797,908.869029954076,TRUE
"Employee 57",15704.0296099149,15813.1004273891,109.070817474276,TRUE
"Employee 58",14296.0113659501,13423.2143992558,-872.796966694295,FALSE
"Employee 59",12087.624038104,11982.6251221821,-104.998915921897,FALSE
"Employee 60",15523.5183169134,17055.0467902794,1531.52847336605,TRUE
"Employee 61",17278.6084329709,18526.2667925563,1247.65835958533,TRUE
"Employee 62",11226.0448443703,11746.1982644163,520.153420045972,TRUE
"Employee 63",10196.4647788554,10017.4706361722,-178.994142683223,FALSE
"Employee 64",10337.4289372005,11520.7139004488,1183.2849632483,TRUE
"Employee 65",12134.4666345976,12903.3276501577,768.861015560105,TRUE
"Employee 66",10546.7069754377,12308.5016768891,1761.79470145144,TRUE
"Employee 67",17942.5950418226,19668.1387384888,1725.54369666614,TRUE
"Employee 68",13757.5790123083,14441.9464562088,684.367443900555,TRUE
"Employee 69",11520.6223144196,10710.4035310913,-810.21878332831,FALSE
"Employee 70",18388.9195020311,19822.6319295354,1433.71242750436,TRUE
"Employee 71",19837.1530463919,21828.6155695096,1991.46252311766,TRUE
"Employee 72",10921.0419724695,11260.0381085649,338.996136095375,TRUE
"Employee 73",13781.7996228114,14250.37983316,468.580210348591,TRUE
"Employee 74",14276.177927386,15404.9070344772,1128.7291070912,TRUE
"Employee 75",17501.7771031708,17262.1208291966,-239.656273974106,FALSE
"Employee 76",10014.9499904364,9819.98376594856,-194.966224487871,FALSE
"Employee 77",18748.757482972,18944.2453100346,195.487827062607,TRUE
"Employee 78",16114.270221442,17670.4259570688,1556.15573562682,TRUE
"Employee 79",11081.4982582815,11018.2658978738,-63.2323604077101,FALSE
"Employee 80",15194.0994150937,15300.3023525234,106.202937429771,TRUE
"Employee 81",12939.1580121592,12512.6364089083,-426.521603250876,FALSE
"Employee 82",18179.6130095609,18570.2472745907,390.634265029803,TRUE
"Employee 83",18610.4908352718,19370.3520148993,759.861179627478,TRUE
"Employee 84",11331.5774826333,11923.7883856986,592.210903065279,TRUE
"Employee 85",12189.5491075702,12600.6175451912,411.068437620997,TRUE
"Employee 86",15477.8780881315,16855.2327710204,1377.35468288884,TRUE
"Employee 87",13663.3269069716,14538.7980502564,875.471143284813,TRUE
"Employee 88",12135.055384133,11716.4937669877,-418.561617145315,FALSE
"Employee 89",15934.7279090434,15137.8657673486,-796.862141694874,FALSE
"Employee 90",19021.689593792,19711.2266735639,689.537079771981,TRUE
"Employee 91",13930.4636418819,14059.6379672643,129.174325382337,TRUE
"Employee 92",13436.1303877085,13419.2272662185,-16.9031214900315,FALSE
"Employee 93",19698.5816978849,20677.2640722338,978.682374348864,TRUE
"Employee 94",12211.9189286605,13959.3913666904,1747.47243802994,TRUE
"Employee 95",16742.3701169901,16489.2574539408,-253.112663049251,FALSE
"Employee 96",14152.625054121,14039.9009948596,-112.724059261382,FALSE
"Employee 97",10441.6559357196,9984.07882871106,-457.577107008547,FALSE
"Employee 98",10919.4989525713,11645.148198586,725.649246014655,TRUE
"Employee 99",10425.9920492768,11653.1432026532,1227.15115337633,TRUE
"Employee 100",12872.2012694925,13898.5958583653,1026.39458887279,TRUE
